Caption,IP_Address,AssetTag,City,Comments,Department,Mail_to_ISP,Mail_to_ISP_CC,Qos,Service,SysLocation,SHA1(AssetTag|City|Comments|Department|Mail_to_ISP|Mail_to_ISP_CC|Qos|Service|SysLocation)
ULN_HUD_4hor_34school,10.150.25.50,11-T-17-00040,,UB_ACCESS,11-T-17-00040,,,,,,44794F4F297E317EF6DBF51512F56A013B0E4EDB
ULN_HUD_4hor_Puma107Bair,10.150.25.52,11-T-17-00062,,UB_ACCESS,11-T-17-00062,,,,,,A7342FAED5A4AAAA2857F8BD5C2462617131FE95
ULN_HUD_4hor_HunnuMall_B,10.150.25.55,11-T-17-00069,,UB_ACCESS,11-T-17-00069,,,,,,183D4A5A218B44CD26667BC69E7049F82F055614
ULN_HUD_4hor_UnitelDataCenter,10.150.25.53,11-T-17-00075,,UB_ACCESS,11-T-17-00075,,,,,,17E20E97AB5985EE68DCD675704A5B997D3C6F01
ULN_HUD_4hor_HunnuMall_A,10.150.25.54,11-T-17-00069,,UB_ACCESS,11-T-17-00069,,,,,,183D4A5A218B44CD26667BC69E7049F82F055614
ULN_HUD_4hor_FoodCity_Indoor,10.150.25.11,11-T-17-00189,,UB_ACCESS,11-T-17-00189,,,,,,3E1F37306E1206C54DBA499713CE558875606D5F
ULN_HUD_4hor_HanbogdHoroolol405Bair,10.150.25.2,11-T-17-00201,,UB_ACCESS,11-T-17-00201,,,,,,EAD96544E15BB9474D2917340BADCB96E2E872DE
ULN_HUD_4hor_MandalaGarden,10.150.25.15,11-T-17-00192,,UB_ACCESS,11-T-17-00192,,,,,,C941C714B07C451CE48C2DE72584799D36DB3C8B
ULN_HUD_4hor_BelmonteResidence_1228bair,10.150.25.9,11-T-17-00155,,UB_ACCESS,11-T-17-00155,,,,,,0F2CCFA1CCCAEF1801749BA536F1DB496003EADD
ULN_HUD_8hor_ShunshigHothon241Bair,10.150.25.6,11-T-17-00232,,UB_ACCESS,11-T-17-00232,,,,,,F63261204B59D83E69DC4AA40A70EEF4DC01CA2F
ULN_HUD_4hor_VIPresidence476Bair,10.150.25.10,11-T-17-00161,,UB_ACCESS,11-T-17-00161,,,,,,7020CA91939DCF18EE0687E6F7D9E7C81244EC85
ULN_HUD_15hor_VegaCity101Bair,10.150.1.44,11-T-17-00251,,UB_ACCESS,11-T-17-00251,,,,,,00D0824AE225E35CAA4C5EE441D107938043B27D
ULN_HUD_4hor_VivaCityM5Bair,10.150.25.51,11-T-17-00044,,UB_ACCESS,11-T-17-00044,,,,,,32B82604217A8A0CEF18B6EFE5ADFE32F0357261
ULN_HUD_9hor_NisehMobi,10.150.25.56,11-T-17-00003,,UB_ACCESS,11-T-17-00003,,,,,,BCE46D1055589C968FFED1F1127B9EB0C9039632
ULN_HUD_10hor_MorinUul_Gmobile,10.150.25.57,11-T-17-00213,,UB_ACCESS,11-T-17-00213,,,,,,05C1A49CF31999BFD5BBBE54B929C9B0A1A2E3A7
TCB#1-2_AGG#2,10.8.90.102,11-T-15-00065,,MCN-DISTRIBUTION,11-T-15-00065,,,,,,EC8621987AB614F3739CD138C1588CFBD01560B8
ULN_HUD_10hor_Niseh_MIAT_ServerRoom,10.150.25.58,11-T-17-00017,,UB_ACCESS,11-T-17-00017,,,,,,63A4A3973557E29092C514F3699D3B2C63195048
ULN_HUD_10hor_EznisAngariy,10.150.25.59,11-T-17-00054,,UB_ACCESS,11-T-17-00054,,,,,,FD88A9B89C45A2943D5FD8E4FC41FC0C45A0A424
TCB#1-1_AGG#1,10.8.90.101,11-T-15-00065,,MCN-DISTRIBUTION,11-T-15-00065,,,,,,EC8621987AB614F3739CD138C1588CFBD01560B8
ULN_SBD_8Hor_MUBIS_Max,10.150.1.52,11-T-14-00019,,UB_ACCESS,11-T-14-00019,,,,,,C1C93FE4F8E36F7BDA39A89325F8ABDE6B0488E8
ULN_SBD_4hor_Tushig21Bair,10.150.20.18,11-T-14-00015,,UB_ACCESS,11-T-14-00015,,,,,,8520EE99BE80982FB27B7FA84BD13D422705F86E
ULN_HUD_4Hor_NZDTG_Indoor,10.150.25.3,11-T-15-00016,,UB_ACCESS,11-T-15-00016,,,,,,81862A928000E9A71C720802EDDE73CDE55E4B62
ULN_BZD_Sansar2bair_Zuun4zam,10.150.8.14,11-T-13-00015,,UB_ACCESS,11-T-13-00015,,,,,,BAE64EF6E6A44F02DD9A6A6A8706BB4FF71F8D4F
NAD_Holboo_M6K,10.150.21.1,,,,,,,,,,C259E771B237769CB6BCE9A5AB734C576A6DA3E1
ULN_BZD_20hor_Honhor,10.150.21.5,,,,,,,,,,C259E771B237769CB6BCE9A5AB734C576A6DA3E1
ULN_BZD_UrgahNaran,10.150.21.6,,,,,,,,,,C259E771B237769CB6BCE9A5AB734C576A6DA3E1
ULN_NAD_Gorodok_Skytel,10.150.21.4,,,,,,,,,,C259E771B237769CB6BCE9A5AB734C576A6DA3E1
ULN_NAD_EruulMendiinTuv,10.150.21.2,,,,,,,,,,C259E771B237769CB6BCE9A5AB734C576A6DA3E1
ULN_SBD_19hor_HunnuResort,10.150.5.35,,,,,,,,,,C259E771B237769CB6BCE9A5AB734C576A6DA3E1
ULN_SBD_1hor_TDB_CentralOffice,10.150.1.63,,,,,,,,,,C259E771B237769CB6BCE9A5AB734C576A6DA3E1
ULN_BGD_11hor_MUDSurguuli_DotuurBair,10.150.16.18,,,,,,,,,,C259E771B237769CB6BCE9A5AB734C576A6DA3E1
ULN_SBD_1hor_BlueSkyTower,10.150.1.56,,,MCN-ACCESS,,,,,,,7790F46F98FA7F8354954C2693DA0E49E2499D6F
